user_id,event_type,event_time,platform,session_id,item_category
TL-0437,session_start,2026-01-12T15:00:00.000000,iOS,503123,
TL-0189,session_start,2026-01-25T11:00:00.000000,WEB,732636,
TL-0350,search_item,2026-02-14T08:00:00.000000,Android,477076,Laptop
TL-0036,start_listing,2026-01-02T03:00:00.000000,Web,381040,Small Appliance
TL-0215,start_listing,2026-01-02T06:00:00.000000,iOS,377331,Laptop
TL-0205,complete_listing,2026-02-13T02:00:00.000000,WEB,370602,
TL-0404,session_start,2026-01-30T12:00:00.000000,WEB,140689,
TL-0016,search_item,2026-01-16T02:00:00.000000,WEB,826633,Laptop
TL-0276,session_start,2026-01-16T18:00:00.000000,iOS,142389,
TL-0073,start_listing,2026-01-23T05:00:00.000000,iOS,188695,Small Appliance
TL-0474,search_item,2026-01-13T11:00:00.000000,WEB,803066,Phone
TL-0118,search_item,2026-02-03T18:00:00.000000,WEB,316047,Phone
TL-0099,session_start,2026-01-14T17:00:00.000000,iOS,689437,
TL-0108,session_start,2026-02-15T23:00:00.000000,iOS,839003,
TL-0318,start_listing,2026-01-07T03:00:00.000000,Android,399810,Battery
TL-0495,session_start,2026-02-09T21:00:00.000000,WEB,443030,
TL-0202,search_item,2026-02-07T09:00:00.000000,Android,940983,Battery
TL-0476,session_start,2026-02-05T08:00:00.000000,Android,512320,
TL-0052,session_start,2026-01-04T13:00:00.000000,WEB,309377,
TL-0410,search_item,2026-02-10T00:00:00.000000,WEB,889706,Battery
TL-0028,search_item,2026-01-13T01:00:00.000000,Web,895480,Laptop
TL-0450,start_listing,2026-02-04T03:00:00.000000,iOS,539708,Battery
TL-0066,session_start,2026-01-26T18:00:00.000000,iOS,114804,
TL-0165,search_item,2026-02-15T11:00:00.000000,iOS,273661,Small Appliance
TL-0242,search_item,2026-01-14T17:00:00.000000,Web,672318,Battery
TL-0073,session_start,2026-01-09T08:00:00.000000,Android,321751,
TL-0382,session_start,2026-02-02T06:00:00.000000,iOS,386857,
TL-0155,session_start,2026-02-01T19:00:00.000000,WEB,211750,
TL-0452,session_start,2026-01-23T16:00:00.000000,iOS,476864,
TL-0354,session_start,2026-02-04T15:00:00.000000,Android,371549,
TL-0093,search_item,2026-01-29T08:00:00.000000,Android,656162,Phone
TL-0481,start_listing,2026-02-03T19:00:00.000000,WEB,640294,Phone
TL-0303,search_item,2026-01-02T17:00:00.000000,iOS,964816,Battery
TL-0427,start_listing,2026-01-28T14:00:00.000000,WEB,474268,Laptop
TL-0278,search_item,2026-01-27T23:00:00.000000,Android,665866,Phone
TL-0340,session_start,2026-02-05T17:00:00.000000,Android,322891,
TL-0072,session_start,2026-02-11T02:00:00.000000,Web,859395,
TL-0107,search_item,2026-02-05T05:00:00.000000,Web,881807,Small Appliance
TL-0037,session_start,2026-02-14T15:00:00.000000,Android,517621,
TL-0179,search_item,2026-02-04T15:00:00.000000,WEB,462254,Laptop
TL-0181,search_item,2026-02-15T03:00:00.000000,Android,489953,Laptop
TL-0494,session_start,2026-01-19T15:00:00.000000,iOS,120051,
TL-0092,complete_listing,2026-01-27T04:00:00.000000,Android,143397,
TL-0468,start_listing,2026-01-23T16:00:00.000000,iOS,926471,Laptop
TL-0034,search_item,2026-01-24T13:00:00.000000,WEB,440395,Small Appliance
TL-0015,complete_listing,2026-01-08T06:00:00.000000,WEB,909507,
TL-0081,search_item,2026-01-07T04:00:00.000000,iOS,138200,Small Appliance
TL-0337,complete_listing,2026-02-14T04:00:00.000000,Android,883651,
TL-0131,search_item,2026-01-23T00:00:00.000000,Android,497455,Small Appliance
TL-0195,search_item,2026-01-27T17:00:00.000000,WEB,484606,Battery
TL-0092,session_start,2026-01-18T22:00:00.000000,Android,269277,
TL-0255,session_start,2026-01-22T22:00:00.000000,Android,741233,
TL-0166,search_item,2026-01-19T08:00:00.000000,iOS,360762,Battery
TL-0467,start_listing,2026-01-23T07:00:00.000000,Android,678601,Laptop
TL-0447,search_item,2026-01-23T00:00:00.000000,Android,347165,Battery
TL-0399,session_start,2026-01-30T03:00:00.000000,Web,516592,
TL-0231,complete_listing,2026-01-19T19:00:00.000000,Android,674292,
TL-0112,search_item,2026-01-19T18:00:00.000000,WEB,888640,Battery
TL-0176,search_item,2026-01-20T07:00:00.000000,WEB,808723,Laptop
TL-0371,complete_listing,2026-02-05T05:00:00.000000,Web,836142,
TL-0041,start_listing,2026-01-25T01:00:00.000000,Android,269249,Laptop
TL-0426,session_start,2026-01-30T13:00:00.000000,iOS,657382,
TL-0417,complete_listing,2026-01-24T18:00:00.000000,Web,356891,
TL-0462,session_start,2026-02-09T05:00:00.000000,Android,212615,
TL-0020,search_item,2026-01-19T16:00:00.000000,Web,773877,Phone
TL-0102,start_listing,2026-01-06T23:00:00.000000,Web,134106,Laptop
TL-0146,complete_listing,2026-02-15T09:00:00.000000,Web,408053,
TL-0490,search_item,2026-01-18T04:00:00.000000,WEB,872818,Laptop
TL-0477,session_start,2026-01-27T04:00:00.000000,WEB,817453,
TL-0101,session_start,2026-01-12T05:00:00.000000,iOS,893025,
TL-0441,session_start,2026-02-14T22:00:00.000000,WEB,645975,
TL-0488,start_listing,2026-01-03T21:00:00.000000,iOS,359040,Battery
TL-0416,search_item,2026-01-12T04:00:00.000000,Android,375462,Phone
TL-0010,search_item,2026-01-15T10:00:00.000000,WEB,508841,Phone
TL-0142,session_start,2026-01-28T11:00:00.000000,iOS,639126,
TL-0375,session_start,2026-01-04T11:00:00.000000,Web,909040,
TL-0444,session_start,2026-02-04T15:00:00.000000,iOS,609898,
TL-0338,session_start,2026-01-01T04:00:00.000000,Web,323806,
TL-0398,search_item,2026-01-16T15:00:00.000000,Android,161391,Laptop
TL-0125,start_listing,2026-02-06T10:00:00.000000,iOS,768760,Small Appliance
TL-0323,start_listing,2026-02-09T02:00:00.000000,iOS,215618,Phone
TL-0228,search_item,2026-01-14T14:00:00.000000,WEB,331784,Small Appliance
TL-0270,start_listing,2026-02-12T18:00:00.000000,iOS,806497,Laptop
TL-0022,search_item,2026-01-13T04:00:00.000000,WEB,262710,Laptop
TL-0110,session_start,2026-01-30T04:00:00.000000,WEB,237568,
TL-0233,search_item,2026-01-02T10:00:00.000000,Web,291123,Battery
TL-0184,start_listing,2026-02-14T11:00:00.000000,Web,245101,Phone
TL-0106,search_item,2026-01-16T05:00:00.000000,Web,743687,Phone
TL-0027,session_start,2026-01-17T16:00:00.000000,Android,972059,
TL-0096,search_item,2026-02-05T07:00:00.000000,Web,622005,Small Appliance
TL-0139,session_start,2026-02-01T00:00:00.000000,WEB,275158,
TL-0303,session_start,2026-01-08T23:00:00.000000,WEB,275474,
TL-0363,session_start,2026-01-22T17:00:00.000000,Android,997293,
TL-0397,session_start,2026-01-09T19:00:00.000000,Web,617774,
TL-0011,search_item,2026-02-07T12:00:00.000000,iOS,495134,Battery
TL-0035,start_listing,2026-02-01T15:00:00.000000,WEB,658140,Small Appliance
TL-0057,start_listing,2026-02-08T04:00:00.000000,iOS,592180,Phone
TL-0487,session_start,2026-01-21T03:00:00.000000,WEB,759154,
TL-0433,session_start,2026-01-29T13:00:00.000000,Web,660671,
TL-0374,start_listing,2026-02-10T16:00:00.000000,iOS,976618,Battery
TL-0261,session_start,2026-01-21T16:00:00.000000,iOS,140046,
TL-0219,session_start,2026-01-11T14:00:00.000000,Web,470966,
TL-0137,session_start,2026-01-09T21:00:00.000000,iOS,263753,
TL-0429,session_start,2026-01-07T19:00:00.000000,Android,961291,
TL-0037,session_start,2026-02-06T23:00:00.000000,WEB,740454,
TL-0264,session_start,2026-01-10T07:00:00.000000,Web,501099,
TL-0079,start_listing,2026-01-19T16:00:00.000000,Web,584496,Battery
TL-0472,search_item,2026-01-01T08:00:00.000000,Web,354915,Small Appliance
TL-0463,start_listing,2026-02-04T05:00:00.000000,Web,405502,Laptop
TL-0425,search_item,2026-01-26T21:00:00.000000,WEB,254985,Small Appliance
TL-0059,session_start,2026-01-06T06:00:00.000000,Web,652418,
TL-0481,session_start,2026-01-15T18:00:00.000000,WEB,749154,
TL-0114,start_listing,2026-02-10T01:00:00.000000,WEB,154051,Small Appliance
TL-0281,start_listing,2026-01-08T20:00:00.000000,WEB,666174,Laptop
TL-0457,session_start,2026-02-01T14:00:00.000000,Web,473862,
TL-0076,start_listing,2026-01-01T14:00:00.000000,iOS,946328,Small Appliance
TL-0052,complete_listing,2026-01-24T14:00:00.000000,WEB,267256,
TL-0070,search_item,2026-01-20T01:00:00.000000,Web,419704,Battery
TL-0171,search_item,2026-02-15T21:00:00.000000,iOS,700661,Laptop
TL-0230,start_listing,2026-01-03T19:00:00.000000,Android,996945,Small Appliance
TL-0441,start_listing,2026-02-09T12:00:00.000000,Android,293016,Laptop
TL-0291,start_listing,2026-01-13T15:00:00.000000,iOS,432182,Phone
TL-0205,start_listing,2026-01-03T19:00:00.000000,iOS,605313,Small Appliance
TL-0326,session_start,2026-02-05T15:00:00.000000,iOS,878558,
TL-0474,search_item,2026-01-17T00:00:00.000000,WEB,444875,Laptop
TL-0094,session_start,2026-01-26T14:00:00.000000,Web,317445,
TL-0334,search_item,2026-02-12T13:00:00.000000,iOS,794580,Small Appliance
TL-0207,start_listing,2026-01-06T07:00:00.000000,Web,251696,Phone
TL-0367,start_listing,2026-01-27T19:00:00.000000,iOS,238194,Phone
TL-0382,search_item,2026-01-30T10:00:00.000000,WEB,834747,Phone
TL-0493,start_listing,2026-01-30T17:00:00.000000,WEB,684053,Laptop
TL-0367,session_start,2026-01-02T12:00:00.000000,Android,661919,
TL-0255,start_listing,2026-01-03T15:00:00.000000,Web,112939,Phone
TL-0026,start_listing,2026-02-10T04:00:00.000000,iOS,185814,Phone
TL-0092,search_item,2026-02-14T21:00:00.000000,WEB,478517,Battery
TL-0064,search_item,2026-01-23T13:00:00.000000,Android,506903,Small Appliance
TL-0479,session_start,2026-02-02T06:00:00.000000,Android,751806,
TL-0082,complete_listing,2026-01-14T05:00:00.000000,Android,441862,
TL-0467,start_listing,2026-01-29T21:00:00.000000,iOS,780221,Phone
TL-0385,search_item,2026-02-02T07:00:00.000000,iOS,269006,Small Appliance
TL-0358,session_start,2026-02-15T10:00:00.000000,Android,950000,
TL-0356,complete_listing,2026-01-11T00:00:00.000000,WEB,528702,
TL-0197,session_start,2026-01-30T04:00:00.000000,Web,600154,
TL-0432,search_item,2026-01-27T17:00:00.000000,WEB,773251,Small Appliance
TL-0132,start_listing,2026-02-09T11:00:00.000000,Web,486140,Phone
TL-0158,session_start,2026-01-12T07:00:00.000000,Web,548730,
TL-0144,start_listing,2026-01-06T10:00:00.000000,Android,783613,Phone
TL-0434,session_start,2026-02-06T13:00:00.000000,iOS,480259,
TL-0246,start_listing,2026-01-05T15:00:00.000000,Web,889099,Small Appliance
TL-0181,complete_listing,2026-01-02T22:00:00.000000,iOS,597297,
TL-0411,search_item,2026-02-11T12:00:00.000000,iOS,401552,Battery
TL-0083,search_item,2026-01-13T10:00:00.000000,Android,884750,Phone
TL-0016,search_item,2026-01-05T14:00:00.000000,Android,900585,Battery
TL-0428,session_start,2026-01-04T00:00:00.000000,Web,166012,
TL-0214,search_item,2026-02-11T21:00:00.000000,iOS,973197,Battery
TL-0385,start_listing,2026-01-07T08:00:00.000000,Android,479458,Laptop
TL-0425,search_item,2026-01-12T15:00:00.000000,WEB,878715,Phone
TL-0362,start_listing,2026-01-27T22:00:00.000000,iOS,847534,Small Appliance
TL-0200,session_start,2026-01-06T14:00:00.000000,WEB,580900,
TL-0223,start_listing,2026-02-05T04:00:00.000000,Web,938038,Laptop
TL-0029,start_listing,2026-01-29T18:00:00.000000,WEB,818420,Battery
TL-0177,session_start,2026-02-07T03:00:00.000000,iOS,225775,
TL-0401,search_item,2026-01-11T02:00:00.000000,WEB,981786,Small Appliance
TL-0499,complete_listing,2026-01-14T03:00:00.000000,WEB,330230,
TL-0186,session_start,2026-01-01T05:00:00.000000,iOS,861883,
TL-0177,search_item,2026-01-28T02:00:00.000000,WEB,909535,Battery
TL-0366,start_listing,2026-01-22T15:00:00.000000,iOS,494552,Laptop
TL-0380,session_start,2026-01-17T18:00:00.000000,iOS,715088,
TL-0384,start_listing,2026-01-21T18:00:00.000000,Android,920888,Laptop
TL-0430,start_listing,2026-01-01T17:00:00.000000,iOS,439295,Battery
TL-0421,session_start,2026-01-06T20:00:00.000000,iOS,986111,
TL-0279,search_item,2026-02-09T19:00:00.000000,Android,960153,Phone
TL-0044,search_item,2026-01-01T03:00:00.000000,iOS,157855,Battery
TL-0453,search_item,2026-01-08T05:00:00.000000,Android,837380,Small Appliance
TL-0127,search_item,2026-02-01T01:00:00.000000,Web,905838,Laptop
TL-0339,search_item,2026-01-05T11:00:00.000000,Android,578026,Small Appliance
TL-0421,session_start,2026-01-27T18:00:00.000000,Web,785347,
TL-0495,search_item,2026-01-20T03:00:00.000000,iOS,180496,Battery
TL-0145,session_start,2026-02-15T19:00:00.000000,Android,282483,
TL-0201,search_item,2026-01-14T16:00:00.000000,Web,812230,Small Appliance
TL-0287,start_listing,2026-02-06T19:00:00.000000,Web,511138,Small Appliance
TL-0286,session_start,2026-01-09T09:00:00.000000,WEB,139043,
TL-0309,start_listing,2026-01-20T05:00:00.000000,Web,449983,Small Appliance
TL-0193,session_start,2026-01-16T07:00:00.000000,Android,556440,
TL-0268,session_start,2026-01-06T21:00:00.000000,WEB,590664,
TL-0436,complete_listing,2026-01-19T03:00:00.000000,iOS,371445,
TL-0283,complete_listing,2026-01-20T07:00:00.000000,Web,174493,
TL-0281,session_start,2026-01-28T13:00:00.000000,Android,325557,
TL-0042,session_start,2026-01-13T17:00:00.000000,Web,256033,
TL-0403,start_listing,2026-01-25T14:00:00.000000,WEB,430886,Phone
TL-0422,search_item,2026-02-13T04:00:00.000000,Android,626660,Phone
TL-0120,session_start,2026-01-03T05:00:00.000000,iOS,212191,
TL-0472,search_item,2026-01-10T05:00:00.000000,Web,986422,Battery
TL-0030,search_item,2026-01-17T02:00:00.000000,Web,370254,Battery
TL-0381,search_item,2026-01-15T14:00:00.000000,Android,852210,Laptop
TL-0461,start_listing,2026-01-29T20:00:00.000000,WEB,204854,Battery
TL-0190,start_listing,2026-01-03T05:00:00.000000,Android,148526,Small Appliance
TL-0021,session_start,2026-01-16T15:00:00.000000,Web,416900,
TL-0395,start_listing,2026-01-24T06:00:00.000000,iOS,935756,Small Appliance
TL-0021,start_listing,2026-01-01T23:00:00.000000,Android,305922,Laptop
TL-0174,session_start,2026-01-07T10:00:00.000000,iOS,337435,
TL-0229,search_item,2026-01-15T05:00:00.000000,WEB,427735,Battery
TL-0062,search_item,2026-02-04T15:00:00.000000,Android,260124,Small Appliance
TL-0469,session_start,2026-02-07T19:00:00.000000,Web,447168,
TL-0409,search_item,2026-01-31T15:00:00.000000,Web,848023,Battery
TL-0372,session_start,2026-01-06T06:00:00.000000,Android,340650,
TL-0267,search_item,2026-01-02T11:00:00.000000,WEB,149028,Small Appliance
TL-0461,session_start,2026-01-13T01:00:00.000000,WEB,206744,
TL-0229,session_start,2026-01-25T19:00:00.000000,iOS,679230,
TL-0486,session_start,2026-02-03T18:00:00.000000,iOS,995747,
TL-0210,session_start,2026-02-15T18:00:00.000000,WEB,129930,
TL-0219,search_item,2026-01-07T06:00:00.000000,WEB,301892,Small Appliance
TL-0419,session_start,2026-02-13T21:00:00.000000,Web,774775,
TL-0277,session_start,2026-01-09T21:00:00.000000,WEB,375083,
TL-0319,start_listing,2026-01-06T17:00:00.000000,iOS,891419,Laptop
TL-0258,start_listing,2026-01-06T05:00:00.000000,Android,572202,Small Appliance
TL-0028,start_listing,2026-02-12T18:00:00.000000,WEB,944589,Laptop
TL-0312,session_start,2026-01-11T19:00:00.000000,WEB,812203,
TL-0398,session_start,2026-01-08T12:00:00.000000,iOS,371564,
TL-0135,start_listing,2026-01-13T14:00:00.000000,Android,808183,Phone
TL-0371,session_start,2026-02-02T03:00:00.000000,Android,588270,
TL-0319,session_start,2026-02-05T19:00:00.000000,WEB,605244,
TL-0142,session_start,2026-02-05T08:00:00.000000,Android,500179,
TL-0368,search_item,2026-02-15T16:00:00.000000,Web,256754,Phone
TL-0411,search_item,2026-01-05T10:00:00.000000,Web,233540,Battery
TL-0469,search_item,2026-01-11T18:00:00.000000,Web,483472,Phone
TL-0157,session_start,2026-01-28T22:00:00.000000,iOS,832522,
TL-0311,search_item,2026-01-07T22:00:00.000000,Web,326480,Battery
TL-0318,session_start,2026-02-08T00:00:00.000000,iOS,772039,
TL-0292,start_listing,2026-02-13T12:00:00.000000,WEB,633546,Battery
TL-0132,session_start,2026-01-12T02:00:00.000000,WEB,252326,
TL-0372,complete_listing,2026-01-15T01:00:00.000000,iOS,233219,
TL-0371,session_start,2026-01-16T14:00:00.000000,WEB,781664,
TL-0451,search_item,2026-01-28T16:00:00.000000,Android,839603,Small Appliance
TL-0013,session_start,2026-01-27T11:00:00.000000,Web,198889,
TL-0440,session_start,2026-01-08T05:00:00.000000,Web,977766,
TL-0455,start_listing,2026-01-08T00:00:00.000000,iOS,357732,Laptop
TL-0255,session_start,2026-01-24T02:00:00.000000,WEB,842503,
TL-0294,start_listing,2026-02-09T07:00:00.000000,iOS,375432,Phone
TL-0227,session_start,2026-02-11T18:00:00.000000,WEB,949814,
TL-0242,search_item,2026-01-10T06:00:00.000000,Web,498908,Phone
TL-0486,search_item,2026-02-02T06:00:00.000000,Web,702426,Battery
TL-0010,start_listing,2026-01-02T23:00:00.000000,WEB,228181,Phone
TL-0093,session_start,2026-01-21T06:00:00.000000,Web,288214,
TL-0109,session_start,2026-02-15T23:00:00.000000,Android,961656,
TL-0138,session_start,2026-01-26T22:00:00.000000,WEB,487281,
TL-0232,start_listing,2026-01-09T20:00:00.000000,Android,748870,Battery
TL-0243,start_listing,2026-01-20T09:00:00.000000,Android,694860,Small Appliance
TL-0456,session_start,2026-01-24T02:00:00.000000,WEB,709668,
TL-0074,session_start,2026-01-01T18:00:00.000000,Web,214830,
TL-0419,start_listing,2026-01-20T09:00:00.000000,Web,914484,Battery
TL-0442,search_item,2026-01-08T02:00:00.000000,WEB,556154,Laptop
TL-0259,session_start,2026-01-29T10:00:00.000000,WEB,293384,
TL-0410,search_item,2026-01-19T00:00:00.000000,Android,341866,Battery
TL-0148,start_listing,2026-01-03T16:00:00.000000,iOS,491525,Battery
TL-0453,session_start,2026-01-22T11:00:00.000000,iOS,975252,
TL-0051,session_start,2026-01-04T06:00:00.000000,Android,538416,
TL-0252,search_item,2026-01-10T14:00:00.000000,WEB,698520,Laptop
TL-0067,session_start,2026-01-08T13:00:00.000000,Web,336561,
TL-0356,session_start,2026-01-17T13:00:00.000000,WEB,208046,
TL-0211,session_start,2026-02-14T18:00:00.000000,iOS,792198,
TL-0119,search_item,2026-02-02T09:00:00.000000,Android,568940,Laptop
TL-0028,search_item,2026-02-11T14:00:00.000000,iOS,964487,Small Appliance
TL-0310,session_start,2026-01-29T19:00:00.000000,Android,332403,
TL-0177,session_start,2026-01-11T12:00:00.000000,Android,748364,
TL-0235,search_item,2026-02-14T09:00:00.000000,WEB,592631,Battery
TL-0444,session_start,2026-01-29T09:00:00.000000,iOS,458463,
TL-0387,session_start,2026-01-04T00:00:00.000000,Android,326455,
TL-0216,search_item,2026-01-30T14:00:00.000000,Android,246417,Battery
TL-0275,search_item,2026-01-28T01:00:00.000000,Web,784758,Battery
TL-0214,session_start,2026-02-04T18:00:00.000000,iOS,387377,
TL-0496,search_item,2026-01-31T10:00:00.000000,Web,521118,Battery
TL-0205,start_listing,2026-02-12T15:00:00.000000,Web,937532,Phone
TL-0279,search_item,2026-01-01T15:00:00.000000,iOS,387872,Phone
TL-0460,session_start,2026-01-12T13:00:00.000000,iOS,857323,
TL-0303,search_item,2026-01-28T15:00:00.000000,Android,161098,Phone
TL-0061,search_item,2026-01-16T20:00:00.000000,Web,123236,Battery
TL-0155,complete_listing,2026-01-07T00:00:00.000000,WEB,365283,
TL-0238,start_listing,2026-02-03T18:00:00.000000,Web,697104,Battery
TL-0215,session_start,2026-01-17T11:00:00.000000,iOS,785371,
TL-0218,session_start,2026-02-13T14:00:00.000000,iOS,724498,
TL-0181,complete_listing,2026-02-12T01:00:00.000000,WEB,438148,
TL-0267,session_start,2026-02-04T01:00:00.000000,iOS,525700,
TL-0138,start_listing,2026-01-11T08:00:00.000000,Android,787996,Laptop
TL-0404,session_start,2026-01-27T11:00:00.000000,Web,345310,
TL-0066,session_start,2026-01-17T08:00:00.000000,iOS,448741,
TL-0072,session_start,2026-01-14T16:00:00.000000,iOS,861658,
TL-0399,start_listing,2026-01-16T21:00:00.000000,iOS,398642,Laptop
TL-0034,search_item,2026-01-02T01:00:00.000000,Web,994912,Small Appliance
TL-0115,search_item,2026-01-27T00:00:00.000000,Web,420426,Small Appliance
TL-0355,start_listing,2026-01-07T22:00:00.000000,WEB,703918,Phone
TL-0038,complete_listing,2026-02-12T15:00:00.000000,iOS,718363,
TL-0248,start_listing,2026-01-25T09:00:00.000000,Android,185564,Small Appliance
TL-0057,complete_listing,2026-01-20T11:00:00.000000,iOS,342938,
TL-0020,start_listing,2026-01-20T08:00:00.000000,WEB,306347,Small Appliance
TL-0165,session_start,2026-01-20T09:00:00.000000,Android,421983,
TL-0249,session_start,2026-02-01T22:00:00.000000,iOS,586483,
TL-0264,session_start,2026-02-15T04:00:00.000000,WEB,450524,
TL-0372,start_listing,2026-01-08T09:00:00.000000,WEB,253743,Phone
TL-0304,session_start,2026-01-27T19:00:00.000000,Web,419982,
TL-0456,session_start,2026-01-30T11:00:00.000000,Web,868180,
TL-0047,search_item,2026-02-10T19:00:00.000000,Web,344748,Laptop
TL-0128,session_start,2026-01-10T00:00:00.000000,Web,632777,
TL-0070,start_listing,2026-02-01T09:00:00.000000,WEB,521214,Battery
TL-0073,session_start,2026-01-27T13:00:00.000000,WEB,926106,
TL-0314,session_start,2026-01-18T05:00:00.000000,Android,468160,
TL-0026,start_listing,2026-02-09T20:00:00.000000,Android,599967,Battery
TL-0448,search_item,2026-01-02T09:00:00.000000,Android,134401,Battery
TL-0000,session_start,2026-01-07T07:00:00.000000,Android,826582,
TL-0285,search_item,2026-01-29T14:00:00.000000,iOS,696232,Laptop
TL-0101,start_listing,2026-01-22T10:00:00.000000,iOS,915162,Small Appliance
TL-0305,search_item,2026-01-05T01:00:00.000000,iOS,292610,Phone
TL-0484,start_listing,2026-01-26T01:00:00.000000,iOS,244356,Small Appliance
TL-0382,session_start,2026-01-24T21:00:00.000000,Android,165656,
TL-0096,start_listing,2026-02-13T10:00:00.000000,iOS,101480,Battery
TL-0231,start_listing,2026-02-04T07:00:00.000000,iOS,677821,Laptop
TL-0491,session_start,2026-02-03T19:00:00.000000,iOS,241298,
TL-0007,session_start,2026-01-19T21:00:00.000000,Web,800211,
TL-0217,start_listing,2026-01-12T00:00:00.000000,Android,490647,Phone
TL-0093,search_item,2026-01-25T03:00:00.000000,WEB,490818,Phone
TL-0479,session_start,2026-02-04T10:00:00.000000,iOS,731084,
TL-0288,complete_listing,2026-01-21T21:00:00.000000,Android,913338,
TL-0013,complete_listing,2026-01-30T12:00:00.000000,Android,899219,
TL-0240,search_item,2026-01-28T06:00:00.000000,WEB,966088,Battery
TL-0184,session_start,2026-02-12T14:00:00.000000,WEB,291881,
TL-0349,start_listing,2026-01-29T00:00:00.000000,WEB,156728,Battery
TL-0129,search_item,2026-01-14T13:00:00.000000,Web,768599,Battery
TL-0201,search_item,2026-02-13T02:00:00.000000,Web,249022,Battery
TL-0068,session_start,2026-01-22T23:00:00.000000,iOS,683040,
TL-0398,session_start,2026-01-02T00:00:00.000000,iOS,805709,
TL-0113,search_item,2026-01-15T10:00:00.000000,WEB,200810,Laptop
TL-0118,search_item,2026-01-11T12:00:00.000000,Web,176952,Laptop
TL-0064,search_item,2026-01-25T06:00:00.000000,Android,404709,Phone
TL-0025,search_item,2026-01-11T09:00:00.000000,Web,209797,Battery
TL-0342,search_item,2026-01-07T07:00:00.000000,WEB,336888,Battery
TL-0224,search_item,2026-02-07T17:00:00.000000,iOS,298941,Small Appliance
TL-0003,session_start,2026-01-25T17:00:00.000000,Android,430731,
TL-0457,start_listing,2026-01-06T00:00:00.000000,WEB,254186,Small Appliance
TL-0089,session_start,2026-01-06T21:00:00.000000,iOS,519339,
TL-0235,session_start,2026-01-15T11:00:00.000000,WEB,691200,
TL-0057,session_start,2026-01-18T00:00:00.000000,WEB,511732,
TL-0172,session_start,2026-01-23T15:00:00.000000,Android,839755,
TL-0404,session_start,2026-02-06T03:00:00.000000,iOS,208039,
TL-0207,search_item,2026-01-15T05:00:00.000000,iOS,260798,Battery
TL-0190,start_listing,2026-02-02T06:00:00.000000,Android,175497,Small Appliance
TL-0014,start_listing,2026-01-25T03:00:00.000000,WEB,145261,Phone
TL-0065,search_item,2026-01-23T09:00:00.000000,Web,559760,Laptop
TL-0353,search_item,2026-01-29T06:00:00.000000,iOS,270404,Battery
TL-0327,session_start,2026-01-27T23:00:00.000000,iOS,890651,
TL-0352,search_item,2026-02-05T15:00:00.000000,WEB,273412,Small Appliance
TL-0195,session_start,2026-02-02T08:00:00.000000,WEB,101527,
TL-0313,search_item,2026-01-03T22:00:00.000000,Web,918950,Battery
