user_id,signup_date,user_tier,region
TL0388,2026-01-16T00:00:00.000000,Basic,
TL0389,2026-01-26T00:00:00.000000,Basic,
TL0390,2026-01-19T00:00:00.000000,Premium,Asia
TL0391,2026-01-25T00:00:00.000000,Basic,Europe
TL0392,2026-01-04T00:00:00.000000,Basic,Europe
TL0393,2026-01-08T00:00:00.000000,Premium,Asia
TL0394,2026-01-06T00:00:00.000000,Basic,Europe
TL0395,2026-01-23T00:00:00.000000,Eco-Ally,
TL0396,2026-01-26T00:00:00.000000,Eco-Ally,North America
TL0397,2026-01-20T00:00:00.000000,Basic,Asia
TL0398,2026-01-18T00:00:00.000000,Basic,North America
TL0399,2026-01-14T00:00:00.000000,Basic,
TL0400,2026-01-21T00:00:00.000000,Eco-Ally,North America
TL0401,2026-01-26T00:00:00.000000,Basic,Europe
TL0402,2026-01-06T00:00:00.000000,Basic,Europe
TL0403,2026-01-12T00:00:00.000000,Eco-Ally,
TL0404,2026-01-03T00:00:00.000000,Basic,Europe
TL0405,2026-01-21T00:00:00.000000,Eco-Ally,
TL0406,2026-01-31T00:00:00.000000,Basic,Asia
TL0407,2026-01-04T00:00:00.000000,Basic,North America
TL0408,2026-01-14T00:00:00.000000,Eco-Ally,Europe
TL0409,2026-01-22T00:00:00.000000,Basic,North America
TL0410,2026-01-17T00:00:00.000000,Eco-Ally,Asia
TL0411,2026-01-22T00:00:00.000000,Eco-Ally,Europe
TL0412,2026-01-26T00:00:00.000000,Basic,North America
TL0413,2026-01-21T00:00:00.000000,Basic,Europe
TL0414,2026-01-14T00:00:00.000000,Eco-Ally,
TL0415,2026-01-25T00:00:00.000000,Basic,Europe
TL0416,2026-01-18T00:00:00.000000,Basic,Europe
TL0417,2026-01-29T00:00:00.000000,Eco-Ally,Europe
TL0418,2026-01-28T00:00:00.000000,Eco-Ally,
TL0419,2026-01-18T00:00:00.000000,Basic,North America
TL0420,2026-01-05T00:00:00.000000,Basic,Europe
TL0421,2026-01-20T00:00:00.000000,Basic,Asia
TL0422,2026-01-13T00:00:00.000000,Premium,Asia
TL0423,2026-01-11T00:00:00.000000,Basic,Europe
TL0424,2026-01-12T00:00:00.000000,Premium,Europe
TL0425,2026-01-23T00:00:00.000000,Basic,North America
TL0426,2026-01-25T00:00:00.000000,Eco-Ally,
TL0427,2026-01-15T00:00:00.000000,Eco-Ally,
TL0428,2026-01-27T00:00:00.000000,Basic,North America
TL0429,2026-01-20T00:00:00.000000,Basic,Europe
TL0430,2026-01-02T00:00:00.000000,Basic,North America
TL0431,2026-01-11T00:00:00.000000,Basic,North America
TL0432,2026-01-08T00:00:00.000000,Premium,Europe
TL0433,2026-01-17T00:00:00.000000,Eco-Ally,Europe
TL0434,2026-01-14T00:00:00.000000,Premium,North America
TL0435,2026-01-19T00:00:00.000000,Eco-Ally,
TL0436,2026-01-13T00:00:00.000000,Basic,Europe
TL0437,2026-01-13T00:00:00.000000,Basic,
TL0438,2026-01-03T00:00:00.000000,Eco-Ally,
TL0439,2026-01-16T00:00:00.000000,Eco-Ally,Europe
TL0440,2026-01-25T00:00:00.000000,Eco-Ally,Europe
TL0441,2026-01-13T00:00:00.000000,Eco-Ally,North America
TL0442,2026-01-24T00:00:00.000000,Basic,Asia
TL0443,2026-01-21T00:00:00.000000,Basic,Europe
TL0444,2026-01-21T00:00:00.000000,Eco-Ally,Europe
TL0445,2026-01-18T00:00:00.000000,Eco-Ally,North America
TL0446,2026-01-06T00:00:00.000000,Eco-Ally,North America
TL0447,2026-01-31T00:00:00.000000,Basic,Asia
TL0448,2026-01-21T00:00:00.000000,Eco-Ally,North America
TL0449,2026-01-19T00:00:00.000000,Basic,Asia
TL0450,2026-01-23T00:00:00.000000,Premium,Asia
TL0451,2026-01-27T00:00:00.000000,Eco-Ally,Asia
TL0452,2026-01-25T00:00:00.000000,Premium,Asia
TL0453,2026-01-26T00:00:00.000000,Eco-Ally,North America
TL0454,2026-01-12T00:00:00.000000,Basic,
TL0455,2026-01-02T00:00:00.000000,Eco-Ally,
TL0456,2026-01-19T00:00:00.000000,Basic,Europe
TL0457,2026-01-23T00:00:00.000000,Basic,North America
TL0458,2026-01-15T00:00:00.000000,Eco-Ally,
TL0459,2026-01-28T00:00:00.000000,Eco-Ally,North America
TL0460,2026-01-15T00:00:00.000000,Basic,North America
TL0461,2026-01-07T00:00:00.000000,Premium,North America
TL0462,2026-01-13T00:00:00.000000,Eco-Ally,Asia
TL0463,2026-01-29T00:00:00.000000,Basic,Europe
TL0464,2026-01-02T00:00:00.000000,Eco-Ally,
TL0465,2026-01-22T00:00:00.000000,Basic,Europe
TL0466,2026-01-27T00:00:00.000000,Basic,Asia
TL0467,2026-01-08T00:00:00.000000,Basic,North America
TL0468,2026-01-04T00:00:00.000000,Eco-Ally,
TL0469,2026-01-03T00:00:00.000000,Basic,Europe
TL0470,2026-01-04T00:00:00.000000,Basic,Europe
TL0471,2026-01-13T00:00:00.000000,Basic,Europe
TL0472,2026-01-30T00:00:00.000000,Basic,North America
TL0473,2026-01-04T00:00:00.000000,Eco-Ally,
TL0474,2026-01-30T00:00:00.000000,Basic,
TL0475,2026-01-26T00:00:00.000000,Basic,Europe
TL0476,2026-01-28T00:00:00.000000,Eco-Ally,
